  -1.631   0.0000   0.02915   0.01933  -0.0746   1.0000   0.1282
  -0.784   0.1000   0.02478   0.01741  -0.0743   0.9951   1.0000
  -0.157   0.2000   0.02685   0.01835  -0.0829   0.9759   1.0000
   0.455   0.3000   0.02903   0.01984  -0.0915   0.9559   1.0000
   1.170   0.4000   0.03141   0.02174  -0.0982   0.9283   1.0000
   1.977   0.5000   0.03407   0.02415  -0.1030   0.8921   1.0000
   2.673   0.6000   0.03605   0.02606  -0.1083   0.8582   1.0000
   3.437   0.7000   0.03775   0.02789  -0.1113   0.8162   1.0000
   4.164   0.8000   0.03840   0.02883  -0.1130   0.7737   1.0000
   4.896   0.9000   0.03776   0.02862  -0.1124   0.7283   1.0000
   5.565   1.0000   0.03498   0.02635  -0.1101   0.6874   1.0000
   6.305   1.1000   0.03123   0.02319  -0.1051   0.6301   1.0000
   
