  -3.150   0.0000   0.02831   0.02027  -0.0990   0.9461   0.0523
  -2.523   0.1000   0.02412   0.01538  -0.1042   0.9365   0.0675
  -1.890   0.2000   0.01912   0.01327  -0.1096   0.9291   0.7287
  -0.970   0.3000   0.01954   0.01305  -0.1085   0.9044   1.0000
  -0.270   0.4000   0.02025   0.01315  -0.1136   0.8876   1.0000
   0.545   0.5000   0.02123   0.01371  -0.1161   0.8638   1.0000
   1.291   0.6000   0.02155   0.01381  -0.1187   0.8439   1.0000
   2.129   0.7000   0.02176   0.01395  -0.1188   0.8158   1.0000
   3.044   0.8000   0.02192   0.01415  -0.1168   0.7793   1.0000
   3.895   0.9000   0.02102   0.01340  -0.1145   0.7461   1.0000
   4.790   1.0000   0.02001   0.01262  -0.1111   0.7026   1.0000
   5.747   1.1000   0.01902   0.01198  -0.1067   0.6353   1.0000 
