  -4.172   0.0000   0.02835   0.02205  -0.1139   0.9320   0.0428
  -3.479   0.1000   0.02062   0.01294  -0.1177   0.9202   0.0351
  -2.710   0.2000   0.01696   0.00910  -0.1200   0.9052   0.0687
  -1.616   0.3000   0.01347   0.00835  -0.1138   0.8812   0.8825
  -0.786   0.4000   0.01354   0.00783  -0.1151   0.8616   1.0000
   0.072   0.5000   0.01385   0.00765  -0.1158   0.8421   1.0000
   0.970   0.6000   0.01422   0.00771  -0.1155   0.8172   1.0000
   1.879   0.7000   0.01435   0.00766  -0.1143   0.7890   1.0000
   2.786   0.8000   0.01436   0.00757  -0.1129   0.7589   1.0000
   3.714   0.9000   0.01442   0.00771  -0.1112   0.7207   1.0000
   4.639   1.0000   0.01429   0.00770  -0.1093   0.6760   1.0000
   5.605   1.1000   0.01424   0.00786  -0.1066   0.6061   1.0000
